date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:44:05	393095/393095	---M-Z	200	added ('OK')	text/html	etag:%22e3bfc9f8734e1c49fa023c4720cf2405%22	https://vocalchat.ai/	C:/My%20Web%20Sites/naurie/vocalchat.ai/index.html	(from )
02:44:05	90/90	---M-Z	200	added ('OK')	text/plain	etag:%229c9324c0eb1a10422644f9b8bc0149d3%22	https://vocalchat.ai/robots.txt		(from )
02:44:05	1843/1843	---MC-	200	added ('OK')	image/png	etag:%226a569a241af194d8d5a610ed4ca94576%22	https://framerusercontent.com/images/ZLQb1tuhwVPZWcPHe8JkWryiSoA.png	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/ZLQb1tuhwVPZWcPHe8JkWryiSoA.png	(from https://vocalchat.ai/)
02:44:05	1843/1843	---MC-	200	added ('OK')	image/png	etag:%222411228f5a73a785d196ac8a1278b01f%22	https://framerusercontent.com/images/l3spY7wXHmSKrb0HF1p6GO8Gsc.png	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/l3spY7wXHmSKrb0HF1p6GO8Gsc.png	(from https://vocalchat.ai/)
02:44:06	72155/72155	---MC-	200	added ('OK')	image/png	etag:%2263b80ab25c3a1b48769f8efd1ac5f4bf%22	https://framerusercontent.com/images/dytp933FzpOspVNxBsIFtSsI.png?scale-down-to=512	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/dytp933FzpOspVNxBsIFtSsI17f5.png	(from https://vocalchat.ai/)
02:44:06	68579/68579	---MC-	200	added ('OK')	image/png	etag:%22721b5e18d4e56af7fa8f698a107a2f9e%22	https://framerusercontent.com/images/AlETzUjSDNpRfwLePuNfTBVa4.png?scale-down-to=512	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/AlETzUjSDNpRfwLePuNfTBVa417f5.png	(from https://vocalchat.ai/)
02:44:06	65121/65121	---MC-	200	added ('OK')	image/png	etag:%222cb4515364ba26ec1e28955570ac333c%22	https://framerusercontent.com/images/cDD1n4h3SKDyBW67BEdtrSfys.png?scale-down-to=512	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/cDD1n4h3SKDyBW67BEdtrSfys17f5.png	(from https://vocalchat.ai/)
02:44:06	719326/719326	---MC-	200	added ('OK')	image/jpeg	etag:%2264e9cfe6fec34b20dd7149d84e0f0dd8%22	https://framerusercontent.com/images/w2hyXovpoCcfHZkjR4Hmr53RA5o.jpg	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/w2hyXovpoCcfHZkjR4Hmr53RA5o.jpg	(from https://vocalchat.ai/)
02:44:07	35996/35996	---MC-	200	added ('OK')	image/png	etag:%22b8b6486088045f29f998b25358baccb1%22	https://framerusercontent.com/images/rJfG75HuqSRYpn5Rifv6UnzZymc.png	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/rJfG75HuqSRYpn5Rifv6UnzZymc.png	(from https://vocalchat.ai/)
02:44:07	4645/4645	---MC-	200	added ('OK')	image/png	etag:%22eb9285dd04a751a385d37f38e6408cff%22	https://framerusercontent.com/images/EZvauozvHLkR6AksP24PznYohY4.png?scale-down-to=512	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/EZvauozvHLkR6AksP24PznYohY417f5.png	(from https://vocalchat.ai/)
02:44:07	6502/6502	---MC-	200	added ('OK')	image/png	etag:%22dd8dd2bac9d971fc5253b105b478e398%22	https://framerusercontent.com/images/nWpYmE4CbpJcW5fZ1Al8Jugfo2M.png?scale-down-to=512	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/nWpYmE4CbpJcW5fZ1Al8Jugfo2M17f5.png	(from https://vocalchat.ai/)
02:44:07	8409/8409	---MC-	200	added ('OK')	image/png	etag:%221e72622dfdbddd630dbcd85836bdf3aa%22	https://framerusercontent.com/images/aj7yPrnFvA6GeLzIkRQY1tj2U0.png?scale-down-to=512	C:/My%20Web%20Sites/naurie/framerusercontent.com/images/aj7yPrnFvA6GeLzIkRQY1tj2U017f5.png	(from https://vocalchat.ai/)
